zone_id,node_id,old_poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,boundary_geometry,geometry,x_coord,y_coord
11,11,3829,,12813507.0,,,park,,"MULTIPOLYGON (((-111.9734494 33.3836822, -111.9729772 33.3833611, -111.9725014 33.3830526, -111.9723802 33.3829682, -111.97227 33.3829135, -111.972273 33.3828789, -111.9727217 33.3828764, -111.9727631 33.3828884, -111.9728089 33.3829087, -111.9730353 33.3830037, -111.9731931 33.3830673, -111.9733268 33.3831059, -111.9733908 33.3831233, -111.9734825 33.3831446, -111.9736362 33.3831712, -111.9737206 33.3831807, -111.9737874 33.3831999, -111.9738025 33.3832135, -111.973694 33.3834089, -111.9736011 33.3835473, -111.9734974 33.383672, -111.9734494 33.3836822)))",POINT (-111.973135822963 33.38323013079204),-111.973135822963,33.38323013079204
12,12,3843,28746459.0,,,,park,,"POLYGON ((-111.9591487 33.3218823, -111.959079 33.3216761, -111.9589682 33.3214233, -111.9588125 33.3211143, -111.958739 33.3209332, -111.9570405 33.3209365, -111.9568313 33.3209769, -111.9566887 33.3206228, -111.9566599 33.3206327, -111.9564877 33.3206917, -111.9562989 33.3207993, -111.9561101 33.3209499, -111.9559384 33.3211938, -111.9558496 33.3213758, -111.9558017 33.3215597, -111.9561101 33.3216313, -111.9565993 33.3216098, -111.9570199 33.3216743, -111.9573087 33.321842, -111.9573117 33.3218823, -111.9591487 33.3218823))",POINT (-111.95750779698149 33.321357152382014),-111.95750779698149,33.321357152382014
13,13,3862,199091216.0,,,,park,,"POLYGON ((-111.9141803 33.4511138, -111.9141704 33.4512016, -111.9141535 33.4513595, -111.9141506 33.4513922, -111.9136438 33.4513924, -111.9129079 33.451392, -111.9114831 33.4513812, -111.9115073 33.4509761, -111.9120104 33.4497665, -111.9126152 33.448661, -111.9129114 33.4481182, -111.912936 33.4476523, -111.9136664 33.4467385, -111.913683 33.4449123, -111.9137109 33.4439387, -111.9141211 33.4439, -111.9142862 33.4421538, -111.9144372 33.440501, -111.9144443 33.4403834, -111.9175987 33.4403644, -111.9175261 33.4408086, -111.9169642 33.4408288, -111.9168871 33.4408556, -111.9168207 33.4409054, -111.9167684 33.4409709, -111.9166442 33.4419749, -111.91658 33.4428717, -111.9165121 33.4436826, -111.9165176 33.4443085, -111.9163907 33.4455983, -111.9162837 33.4466638, -111.9162764 33.4467664, -111.9160069 33.4472599, -111.915833 33.4475789, -111.9159578 33.4476366, -111.91757 33.4476415, -111.9175673 33.4475833, -111.9178409 33.4475802, -111.9179513 33.4475789, -111.917952 33.4477445, -111.9179521 33.4477725, -111.9177302 33.4477703, -111.9158314 33.4477721, -111.9158283 33.4478329, -111.9157938 33.4478364, -111.9156958 33.4478364, -111.9154492 33.4482712, -111.9148411 33.4493935, -111.9146637 33.4497223, -111.9146619 33.4497861, -111.9146133 33.4497857, -111.9144471 33.4500944, -111.9142862 33.4504159, -111.9141982 33.4509405, -111.9141803 33.4511138))",POINT (-111.91466101872233 33.445954975078045),-111.91466101872233,33.445954975078045
14,14,3988,471525327.0,,,,park,,"POLYGON ((-111.9401704 33.432123, -111.9401053 33.4317974, -111.9400571 33.4318051, -111.940014 33.4315678, -111.9398859 33.4315807, -111.939778 33.4315984, -111.9395776 33.4316289, -111.9383712 33.4317482, -111.9379225 33.4317666, -111.9376819 33.4317572, -111.9369993 33.4317752, -111.9359383 33.4317517, -111.934966 33.4316933, -111.9344493 33.4315948, -111.9337387 33.4313695, -111.933636 33.431337, -111.9333893 33.4312511, -111.9329751 33.4311068, -111.9319623 33.4307702, -111.9309842 33.4304953, -111.9305032 33.4303601, -111.9301132 33.4302587, -111.9296481 33.4301378, -111.9291428 33.4300717, -111.9281086 33.429898, -111.9271022 33.4298127, -111.9270936 33.4296559, -111.9266891 33.4296468, -111.9266865 33.429022, -111.9266237 33.4290018, -111.9265807 33.4290097, -111.9265002 33.4290645, -111.9264934 33.4290813, -111.9264906 33.4295734, -111.926455 33.4298018, -111.9264541 33.42984, -111.926447 33.4301572, -111.9268498 33.4301751, -111.927525 33.4302191, -111.9277854 33.4302467, -111.928163 33.4302897, -111.9290814 33.4304258, -111.93018 33.4306335, -111.9308152 33.4307911, -111.9316392 33.4310275, -111.9327635 33.4314143, -111.9336047 33.4317151, -111.9343085 33.4318942, -111.9349694 33.4320303, -111.9357333 33.4321306, -111.9363335 33.4321824, -111.936737 33.4321978, -111.9373307 33.4321637, -111.9375156 33.432187, -111.9375787 33.4321916, -111.9376298 33.4321914, -111.9387646 33.4321515, -111.938885 33.432154, -111.9391757 33.4321775, -111.9393203 33.4321814, -111.93953 33.4321781, -111.9396592 33.432172, -111.9397681 33.4321615, -111.9399442 33.4321377, -111.9401026 33.4321217, -111.940136 33.4321223, -111.9401704 33.432123))",POINT (-111.93333710107801 33.43115837282036),-111.93333710107801,33.43115837282036
15,15,4046,544908594.0,,,,park,,"POLYGON ((-111.9430809 33.4375434, -111.9424127 33.4377958, -111.94159 33.438167, -111.9412784 33.4376781, -111.9412171 33.4375617, -111.9411943 33.4374768, -111.9411298 33.436747, -111.9411328 33.4366236, -111.9411569 33.4364929, -111.9412312 33.4363286, -111.9413342 33.4362001, -111.9416825 33.4359223, -111.9417777 33.4358329, -111.9419724 33.4358514, -111.9426471 33.4366455, -111.9427417 33.4368063, -111.9428711 33.4369918, -111.9429919 33.4372002, -111.9431092 33.4374783, -111.9430809 33.4375434))",POINT (-111.94196753760757 33.43703428255614),-111.94196753760757,33.43703428255614
16,16,4225,817752455.0,,,,park,,"POLYGON ((-111.9246861 33.3726952, -111.9249053 33.3723873, -111.9248405 33.3723354, -111.9247856 33.3722864, -111.924731 33.3722276, -111.9246642 33.3721439, -111.9246249 33.3720873, -111.9246164 33.3720789, -111.9246085 33.3720744, -111.9245956 33.3720729, -111.9245165 33.3720916, -111.9244025 33.3720996, -111.9242924 33.3724687, -111.9243736 33.3724952, -111.9244414 33.3725288, -111.9244971 33.3725563, -111.9245905 33.3726147, -111.9246328 33.3726503, -111.9246861 33.3726952))",POINT (-111.92458486351417 33.372367448844436),-111.92458486351417,33.372367448844436
17,17,4227,818926215.0,,,,park,,"POLYGON ((-111.9468064 33.3795202, -111.9468936 33.3794519, -111.9470422 33.3793449, -111.947094 33.3793078, -111.9471049 33.3793037, -111.9471137 33.3792938, -111.9471336 33.3792741, -111.9471624 33.3792572, -111.9472009 33.3792415, -111.9472242 33.3792394, -111.9472487 33.3792376, -111.9472604 33.3792346, -111.947268 33.379231, -111.9472728 33.3792261, -111.9474186 33.3791135, -111.9474513 33.3790887, -111.9475404 33.3790098, -111.9475094 33.3790042, -111.9466279 33.379002, -111.9464051 33.3791714, -111.9468064 33.3795202))",POINT (-111.94691179926721 33.37918598877917),-111.94691179926721,33.37918598877917
18,18,5652,948543281.0,,,,park,,"POLYGON ((-111.8901457 33.3917937, -111.8904576 33.391785, -111.8904674 33.3912223, -111.8901371 33.3912322, -111.8901457 33.3917937))",POINT (-111.89030198462193 33.3915056150151),-111.89030198462193,33.3915056150151
19,19,5653,949249989.0,,,,park,,"POLYGON ((-111.9391873 33.3812031, -111.9391709 33.3807449, -111.9386421 33.3807615, -111.9386304 33.3806819, -111.9392632 33.3806969, -111.9392921 33.3815464, -111.939209 33.3815483, -111.9392095 33.3813513, -111.9386689 33.3813503, -111.9386584 33.3812109, -111.9391873 33.3812031))",POINT (-111.9390449958272 33.38110604461598),-111.9390449958272,33.38110604461598
20,20,5654,949565943.0,,,,park,,"POLYGON ((-111.9101887 33.3462425, -111.9102126 33.3474231, -111.9100587 33.3474231, -111.9100847 33.3462466, -111.9101887 33.3462425))",POINT (-111.9101361857539 33.34687183306867),-111.9101361857539,33.34687183306867
