link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway,is_link,vdf_toll,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
358,676,56,1,127.79,1,90,99999,connector,0,"LINESTRING (-111.9611873 33.3812437, -111.95983504935384 33.38104251265928)",1,0,0,,0.15,4,1,0.08,55.0,55.0,0.09,,,,
359,57,1037,1,449.34,1,90,99999,connector,0,"LINESTRING (-111.97359034833512 33.38225704823073, -111.973552 33.3782058)",1,0,0,,0.15,4,1,0.28,55.0,55.0,0.3,,,,
360,1037,57,1,449.34,1,90,99999,connector,0,"LINESTRING (-111.973552 33.3782058, -111.97359034833512 33.38225704823073)",1,0,0,,0.15,4,1,0.28,55.0,55.0,0.3,,,,
361,58,877,1,218.7,1,90,99999,connector,0,"LINESTRING (-111.92659773494483 33.35271920816299, -111.9285214 33.3538515)",1,0,0,,0.15,4,1,0.14,55.0,55.0,0.15,,,,
362,877,58,1,218.7,1,90,99999,connector,0,"LINESTRING (-111.9285214 33.3538515, -111.92659773494483 33.35271920816299)",1,0,0,,0.15,4,1,0.14,55.0,55.0,0.15,,,,
363,61,2734,1,270.87,1,90,99999,connector,0,"LINESTRING (-111.94944940513938 33.42370670672925, -111.9522239 33.422964)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
364,2734,61,1,270.87,1,90,99999,connector,0,"LINESTRING (-111.9522239 33.422964, -111.94944940513938 33.42370670672925)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
365,62,2093,1,328.58,1,90,99999,connector,0,"LINESTRING (-111.8866958394073 33.427189135172995, -111.8892286 33.4292547)",1,0,0,,0.15,4,1,0.2,55.0,55.0,0.22,,,,
366,2093,62,1,328.58,1,90,99999,connector,0,"LINESTRING (-111.8892286 33.4292547, -111.8866958394073 33.427189135172995)",1,0,0,,0.15,4,1,0.2,55.0,55.0,0.22,,,,
367,63,932,1,408.64,1,90,99999,connector,0,"LINESTRING (-111.88525360559898 33.42627302891712, -111.882872 33.4293692)",1,0,0,,0.15,4,1,0.25,55.0,55.0,0.27,,,,
368,932,63,1,408.64,1,90,99999,connector,0,"LINESTRING (-111.882872 33.4293692, -111.88525360559898 33.42627302891712)",1,0,0,,0.15,4,1,0.25,55.0,55.0,0.27,,,,
369,64,932,1,141.99,1,90,99999,connector,0,"LINESTRING (-111.88354994217445 33.428222136864036, -111.882872 33.4293692)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.09,,,,
370,932,64,1,141.99,1,90,99999,connector,0,"LINESTRING (-111.882872 33.4293692, -111.88354994217445 33.428222136864036)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.09,,,,
371,66,2460,1,147.12,1,90,99999,connector,0,"LINESTRING (-111.88900291168673 33.41219537974684, -111.8905745 33.4120457)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
372,2460,66,1,147.12,1,90,99999,connector,0,"LINESTRING (-111.8905745 33.4120457, -111.88900291168673 33.41219537974684)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
373,67,2872,1,65.77,1,90,99999,connector,0,"LINESTRING (-111.9471514207736 33.35424037723807, -111.9471398 33.3548333)",1,0,0,,0.15,4,1,0.04,55.0,55.0,0.04,,,,
374,2872,67,1,65.77,1,90,99999,connector,0,"LINESTRING (-111.9471398 33.3548333, -111.9471514207736 33.35424037723807)",1,0,0,,0.15,4,1,0.04,55.0,55.0,0.04,,,,
375,68,732,1,150.6,1,90,99999,connector,0,"LINESTRING (-111.94881147701469 33.35369449567085, -111.9479285 33.3548323)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
376,732,68,1,150.6,1,90,99999,connector,0,"LINESTRING (-111.9479285 33.3548323, -111.94881147701469 33.35369449567085)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
377,69,3078,1,135.61,1,90,99999,connector,0,"LINESTRING (-111.90999133950976 33.33713784933869, -111.9111717 33.3364213)",1,0,0,,0.15,4,1,0.08,55.0,55.0,0.09,,,,
378,3078,69,1,135.61,1,90,99999,connector,0,"LINESTRING (-111.9111717 33.3364213, -111.90999133950976 33.33713784933869)",1,0,0,,0.15,4,1,0.08,55.0,55.0,0.09,,,,
379,70,2547,1,211.2,1,90,99999,connector,0,"LINESTRING (-111.92179729586351 33.37437025574668, -111.9196057 33.3738753)",1,0,0,,0.15,4,1,0.13,55.0,55.0,0.14,,,,
380,2547,70,1,211.2,1,90,99999,connector,0,"LINESTRING (-111.9196057 33.3738753, -111.92179729586351 33.37437025574668)",1,0,0,,0.15,4,1,0.13,55.0,55.0,0.14,,,,
381,71,3099,1,293.66,1,90,99999,connector,0,"LINESTRING (-111.94904868136659 33.41983600082275, -111.9522017 33.4199752)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.2,,,,
382,3099,71,1,293.66,1,90,99999,connector,0,"LINESTRING (-111.9522017 33.4199752, -111.94904868136659 33.41983600082275)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.2,,,,
383,72,1083,1,252.1,1,90,99999,connector,0,"LINESTRING (-111.92814110722499 33.38689203647293, -111.926596 33.3850249)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.17,,,,
384,1083,72,1,252.1,1,90,99999,connector,0,"LINESTRING (-111.926596 33.3850249, -111.92814110722499 33.38689203647293)",1,0,0,,0.15,4,1,0.16,55.0,55.0,0.17,,,,
385,73,2475,1,285.63,1,90,99999,connector,0,"LINESTRING (-111.89492558443463 33.41923576688219, -111.8919799 33.4199641)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
386,2475,73,1,285.63,1,90,99999,connector,0,"LINESTRING (-111.8919799 33.4199641, -111.89492558443463 33.41923576688219)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
387,74,281,1,153.35,1,90,99999,connector,0,"LINESTRING (-111.91467215443382 33.399695558383804, -111.9161644 33.3991081)",1,0,0,,0.15,4,1,0.1,55.0,55.0,0.1,,,,
