name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes,new_node_id
,2609,41565322,signal,-111.917927,33.4512709,2,tertiary,,2609.0,,2882
,2629,2915600598,,-111.9395699,33.4582697,2,tertiary,,2629.0,,2902
,2630,3750151582,,-111.9350129,33.4584444,2,tertiary,,2630.0,,2903
,2635,5208244608,,-111.979025,33.3999631,2,tertiary,,2635.0,,2908
,2665,41602742,,-111.9004705,33.4257042,2,tertiary,,2665.0,,2938
,2666,1584142650,,-111.9784365,33.4219607,-1,motorway,,2666.0,,2939
,2674,5146784047,,-111.8943488,33.3236256,-1,secondary,,2674.0,,2947
,2676,314442572,,-111.8933336,33.3507374,1,motorway,,2676.0,,2949
,2678,255738081,,-111.8939011,33.358018,-1,secondary,,2678.0,,2951
,2679,255738090,,-111.8932327,33.3507484,1,secondary,,2679.0,,2952
,2690,3520951390,,-111.8924412,33.3788691,1,secondary,,2690.0,,2963
,2694,3989531167,,-111.8884441,33.4074374,-1,secondary,,2694.0,,2967
,2705,5132648792,,-111.9683747,33.3745058,-1,motorway,,2705.0,,2978
,2706,6124246693,,-111.9628108,33.4379245,1,motorway,,2706.0,,2979
,2716,6154857994,,-111.9436696,33.3923882,1,secondary,,2716.0,,2989
,2722,2209506334,,-111.9305253,33.4666296,2,tertiary,,2722.0,,2995
,2738,7113795746,,-111.8751613,33.385931,1,motorway,,2738.0,,3011
,2741,2300341686,,-111.9265017,33.4097547,1,primary,,2741.0,,3014
,2747,7919721854,,-111.9456073,33.327198,2,secondary,,2747.0,,3020
,2758,316115396,,-111.9785185,33.4347551,-1,motorway,,2758.0,,3031
,2769,8859244957,,-111.8962367,33.4349496,1,motorway,,2769.0,,3042
,2776,6232083123,,-111.9720876,33.3245642,1,motorway,,2776.0,,3049
,2781,42551761,,-111.9631602,33.3600693,2,tertiary,,2781.0,,3054
,2797,2714317934,,-111.9004556,33.4291314,2,tertiary,,2797.0,,3070
,2806,255821209,,-111.9305883,33.435399,2,tertiary,,2806.0,,3079
,2807,5147338953,,-111.9096123,33.4370109,2,primary,,2807.0,,3080
,2813,256196668,,-111.9785607,33.4208538,-1,motorway,,2813.0,,3086
,2817,2301213622,,-111.9695209,33.3608659,1,motorway,,2817.0,,3090
,2848,256193632,,-111.9833808,33.4106672,1,motorway,,2848.0,,3121
,2851,12058711233,,-111.9589008,33.4290435,2,tertiary,,2851.0,,3124
,2852,2239876807,,-111.9784652,33.4191768,-1,motorway,,2852.0,,3125
,2856,1990638650,,-111.9814596,33.4114142,-1,motorway,,2856.0,,3129
