zone_id,origin_count,origin_avg_distance_mile,origin_avg_distance_km,origin_avg_free_flow,origin_avg_congestion,destination_count,destination_avg_distance_mile,destination_avg_distance_km,destination_avg_free_flow,destination_avg_congestion
140,272,4.57,7.35,6.69,6.69,272,4.63,7.45,6.57,6.57
141,272,4.62,7.44,6.94,6.94,272,4.77,7.67,7.04,7.04
142,272,6.92,11.14,7.76,7.76,272,7.07,11.38,7.57,7.57
143,272,7.61,12.25,8.92,8.92,272,7.69,12.37,8.36,8.36
144,272,6.33,10.18,8.54,8.54,272,6.28,10.11,8.56,8.56
145,272,3.94,6.34,5.11,5.11,272,4.00,6.43,5.03,5.03
146,272,3.92,6.30,5.19,5.19,272,3.94,6.34,5.16,5.16
147,272,4.08,6.57,6.08,6.08,272,4.02,6.46,5.93,5.93
148,272,4.57,7.35,6.38,6.38,272,4.48,7.21,6.19,6.19
149,272,7.31,11.77,11.04,11.04,272,6.48,10.42,9.10,9.10
150,272,5.36,8.62,6.61,6.61,272,5.25,8.45,6.23,6.23
151,272,4.56,7.34,6.14,6.14,272,4.56,7.34,6.20,6.20
152,272,5.62,9.05,7.50,7.50,272,5.41,8.71,7.79,7.79
153,272,5.79,9.31,6.72,6.72,272,5.17,8.32,7.40,7.40
154,272,5.46,8.78,7.39,7.39,272,5.36,8.62,7.49,7.49
155,272,4.67,7.51,6.76,6.76,272,4.74,7.63,6.77,6.77
156,272,6.75,10.86,8.50,8.50,272,7.00,11.27,8.39,8.39
157,272,4.15,6.68,5.42,5.42,272,4.12,6.64,5.27,5.27
158,272,4.51,7.25,6.01,6.01,272,4.44,7.15,6.03,6.03
159,272,5.44,8.75,7.27,7.27,272,5.29,8.51,7.37,7.37
160,272,5.05,8.12,7.36,7.36,272,5.14,8.28,7.25,7.25
161,272,4.31,6.94,5.96,5.96,272,4.33,6.97,6.03,6.03
162,272,4.20,6.76,6.01,6.01,272,4.20,6.76,5.97,5.97
163,272,5.33,8.57,6.51,6.51,272,5.56,8.95,6.62,6.62
164,272,4.21,6.78,5.86,5.86,272,4.25,6.84,5.76,5.76
165,272,6.32,10.17,10.10,10.10,272,6.67,10.74,9.63,9.63
166,272,7.41,11.92,8.46,8.46,272,7.25,11.67,7.61,7.61
167,272,7.12,11.46,10.36,10.36,272,7.32,11.77,10.11,10.11
168,272,5.40,8.69,8.29,8.29,272,5.48,8.82,7.85,7.85
169,272,4.31,6.94,6.48,6.48,272,4.36,7.01,6.39,6.39
170,272,6.46,10.39,10.07,10.07,272,6.66,10.71,9.87,9.87
171,272,6.96,11.20,7.87,7.87,272,6.58,10.58,9.13,9.13
172,272,5.57,8.96,7.51,7.51,272,5.47,8.79,7.61,7.61
173,272,4.99,8.04,6.17,6.17,272,4.89,7.87,5.79,5.79
174,272,5.53,8.90,7.83,7.83,272,5.52,8.88,7.87,7.87
175,272,6.56,10.56,8.73,8.73,272,6.25,10.06,8.06,8.06
176,272,4.68,7.52,6.31,6.31,272,4.66,7.49,6.36,6.36
177,272,6.91,11.12,7.81,7.81,272,6.53,10.50,9.07,9.07
178,272,6.72,10.81,9.95,9.95,272,6.90,11.10,9.87,9.87
179,272,6.00,9.65,7.16,7.16,272,5.85,9.42,6.73,6.73
180,272,4.27,6.86,5.65,5.65,272,4.26,6.86,5.67,5.67
181,272,6.10,9.81,8.84,8.84,272,6.00,9.65,8.94,8.94
182,272,5.96,9.59,8.70,8.70,272,5.86,9.42,8.80,8.80
183,272,4.13,6.64,5.74,5.74,272,4.38,7.04,6.34,6.34
184,272,4.37,7.03,5.83,5.83,272,4.52,7.27,5.82,5.82
185,272,4.14,6.67,6.15,6.15,272,4.08,6.56,6.00,6.00
186,272,5.78,9.30,7.69,7.69,272,5.75,9.24,7.71,7.71
187,272,5.10,8.21,7.43,7.43,272,4.96,7.99,7.43,7.43
188,272,7.09,11.40,10.27,10.27,272,7.35,11.82,10.09,10.09
189,272,5.91,9.51,8.81,8.81,272,6.07,9.77,8.64,8.64
190,272,5.68,9.14,6.83,6.83,272,5.94,9.55,6.77,6.77
191,272,4.11,6.62,5.42,5.42,272,4.11,6.62,5.39,5.39
192,272,6.17,9.92,8.92,8.92,272,6.07,9.76,9.02,9.02
193,272,3.90,6.28,5.06,5.06,272,3.96,6.37,4.98,4.98
194,272,5.04,8.11,7.05,7.05,272,5.00,8.04,7.08,7.08
195,272,5.03,8.10,6.14,6.14,272,4.98,8.02,5.85,5.85
196,272,6.85,11.01,7.16,7.16,272,6.60,10.61,9.15,9.15
197,272,6.61,10.63,9.45,9.45,272,6.80,10.94,9.19,9.19
198,272,5.61,9.02,6.68,6.68,272,5.47,8.79,6.25,6.25
199,272,4.76,7.66,6.25,6.25,272,4.98,8.01,6.79,6.79
200,272,6.47,10.41,7.10,7.10,272,6.13,9.86,8.46,8.46
201,272,6.69,10.77,7.97,7.97,272,6.03,9.70,8.83,8.83
202,272,5.30,8.53,7.12,7.12,272,5.15,8.29,7.22,7.22
203,272,6.24,10.05,7.29,7.29,272,6.51,10.48,6.98,6.98
204,272,6.32,10.17,7.40,7.40,272,6.57,10.57,7.02,7.02
205,272,6.71,10.80,8.45,8.45,272,6.96,11.20,8.34,8.34
206,272,6.70,10.78,7.95,7.95,272,6.95,11.18,7.84,7.84
207,272,5.13,8.26,6.87,6.87,272,5.01,8.07,6.85,6.85
208,272,5.33,8.58,7.18,7.18,272,5.18,8.34,7.28,7.28
209,272,4.03,6.48,5.80,5.80,272,3.98,6.40,5.85,5.85
210,272,4.19,6.74,6.03,6.03,272,4.13,6.65,5.85,5.85
211,272,4.37,7.03,5.83,5.83,272,4.52,7.27,5.82,5.82
212,272,4.14,6.65,5.75,5.75,272,4.39,7.06,6.35,6.35
213,272,5.34,8.60,7.52,7.52,272,6.26,10.07,7.48,7.48
214,272,4.04,6.51,5.38,5.38,272,4.14,6.67,5.33,5.33
215,272,7.14,11.49,9.24,9.24,272,5.53,8.90,7.57,7.57
216,272,4.83,7.77,6.49,6.49,272,4.85,7.80,6.37,6.37
217,272,4.81,7.74,5.91,5.91,272,4.76,7.67,5.62,5.62
218,272,6.60,10.62,7.33,7.33,272,6.21,9.99,8.59,8.59
219,272,6.91,11.12,10.05,10.05,272,7.11,11.44,9.80,9.80
220,272,4.57,7.35,6.01,6.01,272,5.01,8.06,6.85,6.85
221,272,5.65,9.10,7.52,7.52,272,5.44,8.76,7.81,7.81
222,272,5.81,9.34,6.74,6.74,272,5.19,8.36,7.42,7.42
223,272,6.29,10.13,9.41,9.41,272,6.19,9.97,9.50,9.50
224,272,7.37,11.86,7.82,7.82,272,7.43,11.95,7.72,7.72
225,272,6.05,9.74,6.99,6.99,272,6.31,10.15,6.87,6.87
226,272,6.00,9.66,6.97,6.97,272,6.26,10.07,6.86,6.86
227,272,5.11,8.23,6.84,6.84,272,4.98,8.01,6.83,6.83
228,272,4.58,7.37,6.03,6.03,272,4.53,7.28,6.06,6.06
229,272,5.46,8.78,7.31,7.31,272,5.31,8.54,7.41,7.41
230,272,4.54,7.30,6.37,6.37,272,4.71,7.58,6.42,6.42
231,272,4.98,8.02,7.25,7.25,272,5.09,8.20,7.17,7.17
232,272,6.32,10.17,9.31,9.31,272,6.50,10.47,9.23,9.23
233,272,7.14,11.50,8.06,8.06,272,6.76,10.87,9.31,9.31
234,272,5.09,8.19,6.68,6.68,272,5.27,8.48,6.74,6.74
235,272,4.99,8.02,6.78,6.78,272,4.96,7.98,6.81,6.81
236,272,3.84,6.18,5.09,5.09,272,3.85,6.20,5.10,5.10
237,272,4.95,7.97,6.15,6.15,272,4.75,7.65,5.92,5.92
238,272,5.35,8.61,6.43,6.43,272,5.34,8.59,6.16,6.16
239,272,6.52,10.49,6.95,6.95,272,6.70,10.78,9.33,9.33
240,272,5.64,9.08,7.51,7.51,272,5.43,8.74,7.80,7.80
241,272,6.32,10.17,6.97,6.97,272,6.47,10.41,8.52,8.52
242,272,5.78,9.29,7.73,7.73,272,5.68,9.13,7.83,7.83
243,272,5.79,9.31,8.75,8.75,272,5.98,9.62,8.70,8.70
244,272,6.79,10.93,8.54,8.54,272,7.04,11.33,8.43,8.43
245,272,6.29,10.12,7.34,7.34,272,6.23,10.02,6.76,6.76
246,272,6.00,9.66,6.97,6.97,272,6.26,10.07,6.86,6.86
247,272,5.79,9.31,7.03,7.03,272,6.11,9.84,6.92,6.92
248,272,4.21,6.77,5.48,5.48,272,4.18,6.73,5.33,5.33
249,272,5.40,8.69,7.59,7.59,272,6.32,10.17,7.55,7.55
250,272,4.93,7.94,6.67,6.67,272,5.14,8.27,6.76,6.76
251,272,5.41,8.71,7.59,7.59,272,6.33,10.19,7.55,7.55
252,272,8.53,13.73,12.64,12.64,272,9.18,14.77,13.40,13.40
253,272,5.23,8.41,6.90,6.90,272,5.19,8.36,6.92,6.92
254,272,4.13,6.64,5.45,5.45,272,4.15,6.68,5.42,5.42
255,272,4.29,6.91,5.84,5.84,272,3.97,6.39,5.03,5.03
256,272,3.91,6.30,5.22,5.22,272,3.92,6.31,5.24,5.24
257,272,5.02,8.08,6.14,6.14,272,4.97,8.00,5.85,5.85
258,272,4.94,7.95,6.06,6.06,272,4.89,7.87,5.77,5.77
259,272,7.48,12.03,8.48,8.48,272,7.09,11.41,9.74,9.74
260,272,7.36,11.85,11.08,11.08,272,6.53,10.50,9.14,9.14
261,272,5.68,9.14,6.75,6.75,272,5.48,8.82,6.19,6.19
262,272,5.59,8.99,6.79,6.79,272,5.55,8.93,6.24,6.24
263,272,4.23,6.81,5.61,5.61,272,4.23,6.80,5.63,5.63
264,272,5.99,9.63,6.78,6.78,272,5.28,8.49,7.08,7.08
265,272,6.27,10.10,7.35,7.35,272,6.52,10.50,6.97,6.97
266,272,6.70,10.78,8.44,8.44,272,6.95,11.19,8.33,8.33
267,272,6.17,9.94,7.24,7.24,272,6.42,10.34,7.12,7.12
268,272,5.80,9.33,7.04,7.04,272,6.12,9.85,6.93,6.93
269,272,5.67,9.12,6.55,6.55,272,5.95,9.57,6.57,6.57
270,272,5.27,8.48,7.04,7.04,272,5.17,8.31,7.13,7.13
271,272,4.58,7.38,6.65,6.65,272,4.70,7.56,6.72,6.72
272,272,4.06,6.53,5.17,5.17,272,4.08,6.56,5.10,5.10
273,272,5.60,9.01,7.33,7.33,272,6.71,10.79,7.73,7.73
